sample_id,ams_id,layer_type,layer_order,specimen_id,sex,length_cm,length_type,layer_wt_mg
764,764_1,Capsule,3,306,M,71,PCL_or_TL,54.19999999999803
764,764_2,sequence layer,2,306,M,71,PCL_or_TL,3.4999999999989484
764,764_3,nucleus,1,306,M,71,PCL_or_TL,1.9999999999988916
109,109_1,Capsule,3,34,F,94.78,Total Length,7.5999999999964984
109,109_2,sequence layer,2,34,F,94.78,Total Length,13.600000000000279
109,109_3,nucleus,1,34,F,94.78,Total Length,10.199999999997544
117,117_1,Capsule,3,37,M,79.38000000000001,Total Length,11.299999999998533
117,117_2,sequence layer,2,37,M,79.38000000000001,Total Length,7.400000000000517
117,117_3,nucleus,1,37,M,79.38000000000001,Total Length,7.500000000000284
118,118_1,Capsule,3,38,M,116.78000000000002,Total Length,12.400000000001299
118,118_2,sequence layer,2,38,M,116.78000000000002,Total Length,34.000000000000696
118,118_3,nucleus,1,38,M,116.78000000000002,Total Length,7.30000000000075
119,119_1,Capsule,3,39,M,105.78,Total Length,17.600000000001614
119,119_2,sequence layer,2,39,M,105.78,Total Length,17.300000000000537
119,119_3,nucleus,1,39,M,105.78,Total Length,8.49999999999973
123,123_1,Capsule,3,40,M,118.98,Total Length,17.999999999998906
123,123_2,sequence layer,2,40,M,118.98,Total Length,18.299999999999983
123,123_3,nucleus,1,40,M,118.98,Total Length,8.399999999999963
124,124_1,Capsule,3,41,F,136.58,Total Length,39.69999999999985
124,124_2,sequence layer,2,41,F,136.58,Total Length,16.09999999999978
124,124_3,nucleus,1,41,F,136.58,Total Length,9.100000000000108
125,125_1,Capsule,3,42,F,135.48000000000002,Total Length,9.90000000000002
125,125_2,sequence layer,2,42,F,135.48000000000002,Total Length,92.09999999999852
125,125_3,nucleus,1,42,F,135.48000000000002,Total Length,13.700000000000045
126,126_1,Capsule,3,43,M,105.78,Total Length,14.499999999999957
126,126_2,sequence layer,2,43,M,105.78,Total Length,16.000000000000014
126,126_3,nucleus,1,43,M,105.78,Total Length,8.999999999998565
127,127_1,Capsule,3,44,M,127.78000000000002,Total Length,7.399999999998741
127,127_2,sequence layer,2,44,M,127.78000000000002,Total Length,13.099999999999667
127,127_3,nucleus,1,44,M,127.78000000000002,Total Length,1.5999999999998238
128,128_1,Capsule,3,45,M,124.48,Total Length,7.500000000000284
128,128_2,sequence layer,2,45,M,124.48,Total Length,21.79999999999893
128,128_3,nucleus,1,45,M,124.48,Total Length,6.900000000001683
135,135_1,Capsule,3,46,M,142.08,Total Length,17.300000000000537
135,135_2,sequence layer,2,46,M,142.08,Total Length,22.700000000000387
135,135_3,nucleus,1,46,M,142.08,Total Length,5.69999999999915
137,137_1,Capsule,3,47,F,112.38000000000001,Total Length,10.899999999999466
137,137_2,sequence layer,2,47,F,112.38000000000001,Total Length,17.799999999999372
137,137_3,nucleus,1,47,F,112.38000000000001,Total Length,5.199999999998539
102,102_1,Capsule,3,32,F,118.98,Total Length,8.399999999999963
102,102_2,sequence layer,2,32,F,118.98,Total Length,70.8000000000002
102,102_3,Nucleus,1,32,F,118.98,Total Length,9.299999999999642
115,115_1,Capsule,4,36,F,114.58000000000001,Total Length,6.299999999999528
115,115_2,sequence layer,3,36,F,114.58000000000001,Total Length,31.700000000000728
115,115_3,Capsule,2,36,F,114.58000000000001,Total Length,10.899999999999466
115,115_4,Nucleus,1,36,F,114.58000000000001,Total Length,4.999999999999005
100,100-1,Capsule,4,31,M,116.23,Total Length,51.600000000000534
100,100-2,sequence layer,3,31,M,116.23,Total Length,132.09999999999945
100,100-3,sequence layer,2,31,M,116.23,Total Length,126.80000000000113
100,100-4,Nucleus,1,31,M,116.23,Total Length,42.69999999999996
151,151-1,Capsule,5,31,M,116.23,Total Length,33.90000000000093
151,151-2,sequence layer,4,31,M,116.23,Total Length,168.30000000000035
151,151-3,sequence layer,3,31,M,116.23,Total Length,120.69999999999936
151,151-4,sequence layer,2,31,M,116.23,Total Length,36.40000000000043
151,151-5,Nucleus,1,31,M,116.23,Total Length,29.600000000000293
163,163-1,Capsule,4,57,M,180.34,PCL_or_TL,6.399999999999295
163,163-2,sequence layer,3,57,M,180.34,PCL_or_TL,174.10000000000105
163,163-3,sequence layer,2,57,M,180.34,PCL_or_TL,46.30000000000045
163,163-4,Nucleus,1,57,M,180.34,PCL_or_TL,30.199999999998894
164,164-1,Capsule,5,57,M,180.34,PCL_or_TL,25.900000000000034
164,164-2,sequence layer,4,57,M,180.34,PCL_or_TL,98.30000000000005
164,164-3,sequence layer,3,57,M,180.34,PCL_or_TL,80.29999999999937
164,164-4,sequence layer,2,57,M,180.34,PCL_or_TL,27.200000000000557
164,164-5,Nucleus,1,57,M,180.34,PCL_or_TL,22.500000000000853
154,154-1,Capsule,2,53,F,153.08,Total Length,10.200000000001097
154,154-2,Nucleus,1,53,F,153.08,Total Length,4.099999999999326
161,161-1,Capsule,4,56,M,370.84,Total Length,105.19999999999996
161,161-2,sequence layer,3,56,M,370.84,Total Length,113.19999999999908
161,161-3,sequence layer,2,56,M,370.84,Total Length,84.89999999999931
161,161-4,Nucleus,1,56,M,370.84,Total Length,118.19999999999986
