specimen_id,species_common_name,species_scientific_name,length_cm,length_type,original_length_units,PCL_final_cm,sex,haul_id,large_marine_ecosystem,haul_date_akt,capture_depth_m,noncon_lat,noncon_long,confidential_flag,gear_type,haul_year,nmfs_area,fmp_subarea,source,contact,hauldat_complete,notes,n_eyes,pregnant,Sample_Quality,Data_qualtiy,Rank,"Practice_if paired, send one"
281,Pacific Sleeper Shark,Somniosus pacificus,12,precaudal Length,feet,365.76,U,141,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Poor,Low,"Y Maybe, need to dig it out and look at bag again"
263,Pacific Sleeper Shark,Somniosus pacificus,44,Precaudal Length,centimeters,44,M,104,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Waiting,Medium,Y
57,Pacific Sleeper Shark,Somniosus pacificus,55,Total Length(?),centimeters,37.547,F,251,West Coast,9/8/2018,NA,NA,NA,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,N,NA,2,NA,Good,Medium,Medium,Y
37,Pacific Sleeper Shark,Somniosus pacificus,56,Precaudal Length,centimeters,56,M,32,Bering Sea,8/4/2017,NA,NA,NA,Y,NA,2017,NA,NA,AKSRG,Erica Aus,N,NA,1,NA,Poor,Medium,Low,N
275,Pacific Sleeper Shark,Somniosus pacificus,63,Total Length(?),centimeters,44.6094,F,246,West Coast,11/6/2018,47.44167,-125.9113607,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,1,NA,Good,Medium,Medium,N
294,Pacific Sleeper Shark,Somniosus pacificus,63,Precaudal Length,centimeters,63,F,102,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Waiting,Medium,N
277,Pacific Sleeper Shark,Somniosus pacificus,64,Total Length(?),centimeters,45.4922,F,254,West Coast,1/8/2018,47.34167,-125.6711838,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
120,Pacific Sleeper Shark,Somniosus pacificus,65,Precaudal Length,centimeters,65,M,83,Bering Sea,5/7/2021,367.5888,NA,NA,Y,NPT,2021,517,EBS,NPGOP,NA,N,NA,1,NA,Good,Good,High,Y
284,Pacific Sleeper Shark,Somniosus pacificus,65,Total Length(?),centimeters,46.375,M,229,West Coast,6/24/2018,48.02833,-125.7226228,237.744,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
127,Pacific Sleeper Shark,Somniosus pacificus,65,Precaudal Length,centimeters,65,M,88,Bering Sea,5/7/2021,367.5888,NA,NA,Y,NPT,2021,517,EBS,NPGOP,NA,N,duplicate haul,1,NA,Good,Good,High,N
286,Pacific Sleeper Shark,Somniosus pacificus,66,Total Length(?),centimeters,47.2578,M,254,West Coast,1/8/2018,47.34167,-125.6711838,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
288,Pacific Sleeper Shark,Somniosus pacificus,69,Total Length(?),centimeters,49.9062,M,250,West Coast,5/24/2018,47.85833,-125.4812456,274.32,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
172,Pacific Sleeper Shark,Somniosus pacificus,70,Precaudal Length,centimeters,70,F,29,Bering Sea,8/4/2020,217.6272,NA,NA,Y,PTR,2020,517,EBS,NPGOP,NA,N,NA,2,NA,Good,Good,High,N
289,Pacific Sleeper Shark,Somniosus pacificus,71,Total Length(?),centimeters,51.6718,M,254,West Coast,1/8/2018,47.34167,-125.6711838,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
266,Pacific Sleeper Shark,Somniosus pacificus,71,Total Length(?),centimeters,51.6718,M,256,West Coast,10/29/2018,43.6,-128.1017448,283.464,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
174,Pacific Sleeper Shark,Somniosus pacificus,73,Precaudal Length,centimeters,73,F,73,Bering Sea,9/29/2020,175.5648,NA,NA,Y,PTR,2020,524,EBS,NPGOP,NA,N,NA,2,NA,Good,Good,High,N
33,Pacific Sleeper Shark,Somniosus pacificus,75,Precaudal Length,centimeters,75,F,131,Bering Sea,6/29/2022,104.2416,NA,NA,Y,PTR,2022,517,EBS,NPGOP,NA,N,NA,2,NA,Good,Good,High,N
269,Pacific Sleeper Shark,Somniosus pacificus,75,Precaudal Length,centimeters,75,F,98,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Waiting,Medium,N
264,Pacific Sleeper Shark,Somniosus pacificus,78,Total Length(?),centimeters,57.8514,F,246,West Coast,11/6/2018,47.44167,-125.9113607,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
35,Pacific Sleeper Shark,Somniosus pacificus,80,Precaudal Length,centimeters,80,M,82,Bering Sea,5/7/2021,384.048,NA,NA,Y,NPT,2021,517,EBS,NPGOP,NA,N,NA,2,NA,Good,Good,High,N
43,Pacific Sleeper Shark,Somniosus pacificus,80,Precaudal Length,centimeters,80,M,34,Bering Sea,8/7/2017,NA,NA,NA,Y,NA,2017,NA,NA,AKSRG,Erica Aus,N,NA,1,NA,Poor,Medium,Low,N
47,Pacific Sleeper Shark,Somniosus pacificus,80,Precaudal Length,centimeters,80,M,38,Bering Sea,8/21/2017,NA,NA,NA,Y,NA,2017,NA,NA,AKSRG,Erica Aus,N,NA,1,NA,Poor,Medium,Low,N
303,Pacific Sleeper Shark,Somniosus pacificus,80,Precaudal Length,centimeters,80,F,154,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Waiting,Medium,N
56,Pacific Sleeper Shark,Somniosus pacificus,82,Total Length(?),centimeters,61.3826,M,254,West Coast,1/8/2018,47.34167,-125.6711838,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
299,Pacific Sleeper Shark,Somniosus pacificus,83,Total Length(?),centimeters,62.2654,M,255,West Coast,11/3/2018,47.75,-125.6968014,384.048,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
89,Pacific Sleeper Shark,Somniosus pacificus,83,Precaudal Length,centimeters,83,F,107,Bering Sea,8/7/2020,234.0864,NA,NA,Y,PTR,2020,517,EBS,NPGOP,NA,N,NA,3,NA,Good,Good,High,N
92,Pacific Sleeper Shark,Somniosus pacificus,83,Precaudal Length,centimeters,83,F,119,Bering Sea,8/1/2022,91.44,NA,NA,Y,PTR,2022,521,EBS,NPGOP,NA,N,NA,2,NA,Good,Good,High,N
302,Pacific Sleeper Shark,Somniosus pacificus,83,Precaudal Length,centimeters,83,F,168,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Waiting,Medium,N
307,Pacific Sleeper Shark,Somniosus pacificus,86,Total Length(?),centimeters,64.9138,F,222,West Coast,5/21/2018,192.024,48.11491507,-125.4812456,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
38,Pacific Sleeper Shark,Somniosus pacificus,86,Precaudal Length,centimeters,86,F,42,Bering Sea,4/19/2018,NA,NA,NA,Y,NA,2018,NA,NA,AKSRG,Erica Aus,N,NA,1,NA,Poor,Medium,Low,N
278,Pacific Sleeper Shark,Somniosus pacificus,87,Total Length(?),centimeters,65.7966,M,254,West Coast,1/8/2018,47.34167,-125.6711838,438.912,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
272,Pacific Sleeper Shark,Somniosus pacificus,88,Precaudal Length,centimeters,88,F,31,NA,8/23/2020,NA,NA,NA,Y,NA,2020,NA,NA,NPGOP,NA,N,needs permit double checked,2,NA,Good,Waiting,Medium,N
308,Pacific Sleeper Shark,Somniosus pacificus,89,Total Length(?),centimeters,67.5622,M,223,West Coast,5/19/2018,201.168,48.19050054,-125.7226228,Y,TWL,2018,NA,WC,ASHOP,Vanessa Tuttle,Y,NA,2,NA,Good,Medium,Medium,N
262,Pacific Sleeper Shark,Somniosus pacificus,89,Precaudal Length,centimeters,89,M,96,NA,NA,NA,NA,NA,Y,NA,NA,NA,NA,NPGOP,NA,N,NA,2,NA,Good,Waiting,Medium,N
95,Pacific Sleeper Shark,Somniosus pacificus,89.5,Precaudal Length,centimeters,89.5,M,26,SEAK,5/31/2018,263.3472,58.14166667,-136.4533333,N,LL,2018,659,SEI,OceanAire_CharlieMason,Cindy Tribuzio,Y,NA,2,NA,Good,Good,High,N
