Sample_ID,Sample_Type,Alternate_Sample_ID,,Any additional fields necessary should be added here and can be incorpoerated into the database
25,Spine,Yellow_Tag_28,,
26,Embryo,22,,
42,Embryo A,Yellow_Tag_20,,
43,Embryo B,Yellow_Tag_20,,
44,Eye L,Yellow_Tag_20,,
45,Eye R,Yellow_Tag_20,,
46,Spine,Yellow_Tag_20,,
47,Genetic,Yellow_Tag_20,,
48,Embryo A,Yellow_Tag_19,,
49,Embyto B,Yellow_Tag_19,,
50,Eye L,Yellow_Tag_19,,
51,Eye R,Yellow_Tag_19,,
52,Spine,Yellow_Tag_19,,
53,Genetic,Yellow_Tag_19,,
54,Embryo A,Yellow_Tag_18,,
55,Embryo B,Yellow_Tag_18,,
56,Eye L,Yellow_Tag_18,,
57,Eye R,Yellow_Tag_18,,
58,Spine,Yellow_Tag_18,,
59,Genetic,Yellow_Tag_18,,
60,Embryo,Yellow_Tag_17,,
61,Eye L,Yellow_Tag_17,,
62,Eye R,Yellow_Tag_17,,
63,Spine,Yellow_Tag_17,,
64,Genetic,Yellow_Tag_17,,
65,Spine,Yellow_Tag_12,,
66,Genetic,Yellow_Tag_12,,
67,Fin,Yellow_Tag_11,,
68,Genetic,Yellow_Tag_11,,
69,Fin,Yellow_Tag_10,,
70,Genetic,Yellow_Tag_10,,
71,Fin,Yellow_Tag_9,,
72,Genetic,Yellow_Tag_9,,
73,Spine,Yellow_Tag_8,,
74,Genetic,Yellow_Tag_8,,
75,Fin,Yellow_Tag_8,,
76,Spine,Yellow_Tag_9,,
77,Spine,Yellow_Tag_10,,
78,Spine,Yellow_Tag_11,,
79,Fin,Yellow_Tag_7,,
80,Spine,Yellow_Tag_7,,
81,Genetic,Yellow_Tag_7,,
82,Fin,Yellow_Tag_6,,
83,Spine,Yellow_Tag_6,,
84,Genetic,Yellow_Tag_6,,
85,Fin,Yellow_Tag_5,,
86,Spine,Yellow_Tag_5,,
87,Genetic,Yellow_Tag_5,,
88,Fin,Yellow_Tag_4,,
89,Spine,Yellow_Tag_4,,
90,Genetic,Yellow_Tag_4,,
91,Fin,Yellow_Tag_3,,
