Sample_ID,Specimen_ID,,Make sure Specimen_ID's start at 15
1,1,,
2,1,,
3,2,,
4,3,,
5,4,,
42,15,,
43,15,,
44,15,,
45,15,,
46,15,,
47,15,,
48,16,,
49,16,,
50,16,,
51,16,,
52,16,,
53,16,,
54,17,,
55,17,,
56,17,,
57,17,,
58,17,,
59,17,,
60,18,,
61,18,,
62,18,,
63,18,,
64,18,,
65,19,,
66,19,,
67,20,,
68,20,,
69,21,,
70,21,,
71,22,,
72,22,,
73,23,,
74,23,,
75,23,,
76,22,,
77,21,,
78,20,,
79,24,,
80,24,,
81,24,,
82,25,,
83,25,,
84,25,,
85,26,,
86,26,,
87,26,,
88,27,,
89,27,,
90,27,,
91,28,,
92,28,,
93,28,,
94,29,,
95,29,,
96,29,,
97,30,,
98,30,,
99,30,,
100,31,,
101,32,,
102,32,,
103,33,,
104,33,,
105,31,,
106,32,,
107,33,,
108,34,,
109,34,,
110,34,,
111,35,,
112,35,,
113,35,,
114,36,,
115,36,,
116,36,,
117,37,,
118,38,,
119,39,,
120,38,,
121,37,,
122,39,,
123,40,,
124,41,,
125,42,,
126,43,,
127,44,,
128,45,,
129,40,,
130,41,,
131,42,,
132,43,,
133,44,,
134,45,,
135,46,,
136,46,,
137,47,,
138,47,,
139,48,,
140,48,,
141,48,,
142,49,,
143,49,,
144,49,,
145,50,,
146,50,,
147,50,,
148,52,,
149,52,,
150,31,,
151,31,,
152,52,,
153,53,,
154,53,,
155,53,,
156,54,,
157,54,,
158,55,,
159,55,,
160,56,,
161,56,,
162,56,,
163,57,,
164,57,,
165,57,,
166,58,,
167,58,,
168,Unk 1,,
169,Unk 1,,
170,Unk 1,,
171,Unk 1,,
172,59,,
173,60,,
174,60,,
175,60,,
176,61,,
177,61,,
178,61,,
179,62,,
180,62,,
181,62,,
182,63,,
183,63,,
184,63,,
185,64,,
186,64,,
187,64,,
188,65,,
189,65,,
190,65,,
191,66,,
192,66,,
193,66,,
194,67,,
195,67,,
196,67,,
197,68,,
198,68,,
199,68,,
200,69,,
201,69,,
202,69,,
203,70,,
204,70,,
205,70,,
206,71,,
207,71,,
208,71,,
209,72,,
210,72,,
211,72,,
212,73,,
213,73,,
214,73,,
215,74,,
216,74,,
217,74,,
218,75,,
219,75,,
220,75,,
221,76,,
222,76,,
223,76,,
224,77,,
225,77,,
226,77,,
227,78,,
228,78,,
229,78,,
230,79,,
231,79,,
232,79,,
233,80,,
234,80,,
235,80,,
236,81,,
237,81,,
238,82,,
239,82,,
240,83,,
241,83,,
242,84,,
243,84,,
244,85,,
245,85,,
246,86,,
247,86,,
248,87,,
249,87,,
250,87,,
251,88,,
252,88,,
253,89,,
254,89,,
255,89,,
256,90,,
257,90,,
258,90,,
259,91,,
260,91,,
261,91,,
262,92,,
263,92,,
264,92,,
265,93,,
266,93,,
267,94,,
268,94,,
269,94,,
270,95,,
271,95,,
272,95,,
273,96,,
274,96,,
275,97,,
276,97,,
277,97,,
278,98,,
279,98,,
280,99,,
281,99,,
282,99,,
283,100,,
284,100,,
285,100,,
286,101,,
287,101,,
288,101,,
289,102,,
290,102,,
291,102,,
292,103,,
293,103,,
294,103,,
295,104,,
296,104,,
297,104,,
298,105,,
299,105,,
300,105,,
301,106,,
302,106,,
303,106,,
304,107,,
305,107,,
306,107,,
307,108,,
308,108,,
309,108,,
310,109,,
311,109,,
312,109,,
313,110,,
314,110,,
315,111,,
316,111,,
317,111,,
318,112,,
319,112,,
320,112,,
321,113,,
322,113,,
323,113,,
324,114,,
325,114,,
326,114,,
327,115,,
328,115,,
329,116,,
330,116,,
331,117,,
332,117,,
333,117,,
334,118,,
335,118,,
336,119,,
337,119,,
338,119,,
339,119,,
340,120,,
341,120,,
342,121,,
343,121,,
344,121,,
345,122,,
346,122,,
347,123,,
348,123,,
349,124,,
350,124,,
351,124,,
352,125,,
353,125,,
354,125,,
355,126,,
356,126,,
357,126,,
358,127,,
359,127,,
360,128,,
361,128,,
362,128,,
363,128,,
364,129,,
365,129,,
366,129,,
367,130,,
368,130,,
369,130,,
370,131,,
371,131,,
372,131,,
373,132,,
374,132,,
375,132,,
376,133,,
377,133,,
378,133,,
379,134,,
436,134,,
380,135,,
381,135,,
382,135,,
383,136,,
384,136,,
385,136,,
386,137,,
387,137,,
388,137,,
389,138,,
390,138,,
391,138,,
392,139,,
393,139,,
394,139,,
395,140,,
396,140,,
397,141,,
437,141,,
398,142,,
399,142,,
400,143,,
401,143,,
402,144,,
438,144,,
403,145,,
404,145,,
405,145,,
406,145,,
407,146,,
408,146,,
409,146,,
410,147,,
411,147,,
412,147,,
413,148,,
414,148,,
415,149,,
416,149,,
417,149,,
418,118,,
419,118,,
420,150,,
421,150,,
422,150,,
423,151,,
424,152,,
425,152,,
426,153,,
427,153,,
