Specimen_ID,Species Common Name,Species Scientific Name,Length (cm),Length Type,Original_Length_Units,Weight (kg),Weight Type,Original_Weight_Units,Sex,Maturity,Maturity_Info,Alternate_Specimen_ID
1,Pacific Sleeper Shark,,2000,Precaudal Length,meters,200,Estimate,kilograms,U,U,,
2,Spiny Dogfish,Squalus suckleyi,111,Total Length,centimeters,5,Total,grams,F,M,,
15,Spiny Dogfish,Squalus suckleyi,91,Precaudal Length,centimeters,6.26,Total,grams,F,,,Yellow_Tag_20
16,Spiny Dogfish,Squalus suckleyi,92,Precaudal Length,centimeters,7.18,Total,grams,F,,,Yellow_Tag_19
17,Spiny Dogfish,Squalus suckleyi,91,Precaudal Length,centimeters,6.395,Total,grams,F,,,Yellow_Tag_18
18,Spiny Dogfish,Squalus suckleyi,90,Precaudal Length,centimeters,6.025,Total,grams,F,,,Yellow_Tag_17
19,Spiny Dogfish,Squalus suckleyi,63,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_12
20,Spiny Dogfish,Squalus suckleyi,91,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_11
21,Spiny Dogfish,Squalus suckleyi,91,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_10
22,Spiny Dogfish,Squalus suckleyi,91,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_9
23,Spiny Dogfish,Squalus suckleyi,92,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_8
24,Spiny Dogfish,Squalus suckleyi,92,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_7
25,Spiny Dogfish,Squalus suckleyi,89,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_6
26,Spiny Dogfish,Squalus suckleyi,89,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_5
27,Spiny Dogfish,Squalus suckleyi,94,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_4
28,Spiny Dogfish,Squalus suckleyi,87,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_3
29,Spiny Dogfish,Squalus suckleyi,85,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_2
30,Spiny Dogfish,Squalus suckleyi,89,Precaudal Length,centimeters,,,,F,,,Yellow_Tag_1
31,Pacific Sleeper Shark,Somniosus pacificus,89.5,Precaudal Length,centimeters,7.257472,Total,kilograms,M,,,OA2018026201
32,Pacific Sleeper Shark,Somniosus pacificus,92,Precaudal Length,centimeters,10.2,Total,kilograms,F,,,61
33,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,27
34,Pacific Sleeper Shark,Somniosus pacificus,70,Precaudal Length,centimeters,5.4,Total,kilograms,F,,,51
35,Pacific Sleeper Shark,Somniosus pacificus,,,,,,,,,,26
