specimen_id,sample_quality,data_quality,rank
15,Great,Good,Best
16,Great,Good,Best
17,Great,Good,Best
18,Great,Great,Best
31,Good,Good,High
32,Good,Good,High
33,Good,Good,High
34,Good,Good,High
35,Good,Good,High
36,Good,Medium,Medium
37,Poor,Medium,Low
38,Poor,Medium,Low
39,Good,Poor,Low
40,Poor,Medium,Low
41,Poor,Medium,Low
42,Poor,Medium,Low
43,Poor,Medium,Low
44,Poor,Medium,Low
45,Poor,Medium,Low
46,Poor,Medium,Low
47,Poor,Medium,Low
48,Poor,Poor,Lower
49,Poor,Poor,Lower
50,Poor,Poor,Lower
52,Good,Great,High
53,Good,Good,High
56,Good,Medium,Medium
57,Good,Medium,Medium
60,Good,Medium,Medium
61,Good,Medium,Medium
62,Good,Medium,Medium
63,Good,Medium,Medium
64,Good,Waiting,Medium
65,Good,Medium,Medium
66,Good,Waiting,Medium
67,Good,Medium,Medium
68,Good,Medium,Medium
69,Good,Waiting,Medium
70,Good,Medium,Medium
71,Good,Medium,Medium
72,Good,Medium,Medium
73,Good,Medium,Medium
74,Good,Medium,Medium
75,Good,Medium,Medium
76,Good,Medium,Medium
77,Good,Good,High
78,Good,Good,High
79,Good,Good,High
80,Good,Good,High
81,Good,Medium,Medium
82,Good,Medium,Medium
83,Good,Waiting,Medium
84,Good,Waiting,Medium
85,Good,Waiting,Medium
86,Good,Waiting,Medium
87,Good,Good,High
88,Good,Good,High
89,Good,Good,High
90,Good,Waiting,Medium
91,Good,Good,High
92,Good,Good,High
93,Good,Good,High
94,Good,Waiting,Medium
95,Good,Good,High
96,Good,Good,High
97,Good,Good,High
98,Good,Waiting,Medium
99,Good,Good,High
100,Good,Good,High
101,Good,Good,High
102,Good,Good,High
103,Good,Good,High
104,Good,Good,High
105,Good,Good,High
106,Good,Good,High
107,Good,Great,High
108,Good,Good,High
109,Good,Great,High
110,Good,Waiting,Medium
111,Good,Great,High
112,Good,Good,High
113,Good,Good,High
114,Good,Good,High
115,Good,Waiting,Medium
116,Good,Waiting,Medium
117,Good,Waiting,Medium
118,Good,Good,High
119,Good,Good,High
120,Good,Good,High
121,Good,Good,High
122,Poor,Poor,Low
123,Good,Waiting,Medium
124,Good,Good,High
125,Good,Good,High
126,Good,Good,High
127,Good,Good,High
128,Good,Good,High
129,Good,Good,High
130,Good,Waiting,Medium
131,Good,Good,High
132,Good,Waiting,Medium
133,Good,Waiting,Medium
