sample_id,specimen_id,alternate_specimen_id,length_cm,length_type,weight_kg,sex,maturity,large_marine_ecosystem,haul_date_akt,noncon_lat,noncon_long,nmfs_area,Source
14,1052,Yellow_Tag_23,NA,NA,NA,NA,NULL,Gulf of Alaska,NA,NA,NA,NA,AFSC_LLS
19,1053,Yellow_Tag_25,NA,NA,NA,NA,NULL,Gulf of Alaska,NA,NA,NA,NA,AFSC_LLS
24,1054,Yellow_Tag_22,NA,NA,NA,NA,NULL,Gulf of Alaska,NA,NA,NA,NA,AFSC_LLS
29,1055,Yellow_Tag_26,NA,NA,NA,NA,NULL,Gulf of Alaska,NA,NA,NA,NA,AFSC_LLS
32,1056,Yellow_Tag_21,NA,NA,NA,NA,NULL,Gulf of Alaska,NA,NA,NA,NA,AFSC_LLS
37,1057,Yellow_Tag_24,NA,NA,NA,NA,NULL,Gulf of Alaska,NA,NA,NA,NA,AFSC_LLS
46,15,Yellow_Tag_20,91,Precaudal Length,6.26,F,NULL,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,650,AFSC_LLS
52,16,Yellow_Tag_19,92,Precaudal Length,7.18,F,NULL,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,650,AFSC_LLS
58,17,Yellow_Tag_18,91,Precaudal Length,6.395,F,NULL,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,650,AFSC_LLS
63,18,Yellow_Tag_17,90,Precaudal Length,6.025,F,NULL,Gulf of Alaska,2021-07-12T00:00:00Z,56.3862,-135.3505,650,AFSC_LLS
65,19,Yellow_Tag_12,63,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-08-01T00:00:00Z,59.5135,-145.5408,640,AFSC_LLS
67,20,Yellow_Tag_11,91,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-25T00:00:00Z,58.6853,-140.6417,640,AFSC_LLS
69,21,Yellow_Tag_10,91,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-19T00:00:00Z,58.4602,-139.609,650,AFSC_LLS
71,22,Yellow_Tag_9,91,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-19T00:00:00Z,58.464,-139.4703,650,AFSC_LLS
73,23,Yellow_Tag_8,92,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,650,AFSC_LLS
75,23,Yellow_Tag_8,92,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,650,AFSC_LLS
76,22,Yellow_Tag_9,91,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-19T00:00:00Z,58.464,-139.4703,650,AFSC_LLS
77,21,Yellow_Tag_10,91,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-19T00:00:00Z,58.4602,-139.609,650,AFSC_LLS
78,20,Yellow_Tag_11,91,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-25T00:00:00Z,58.6853,-140.6417,640,AFSC_LLS
79,24,Yellow_Tag_7,92,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,650,AFSC_LLS
80,24,Yellow_Tag_7,92,Precaudal Length,NA,F,NULL,Gulf of Alaska,2019-07-18T00:00:00Z,58.1405,-138.738,650,AFSC_LLS
